"day0_1" "day2_3" "more4" "covid_all" "covid_in_day" "good_pat" "pr_day01" "pr_day23" "pr_more4"
25212 16676 7178 1 1 66497 50051 7581 15923
98758 39216 19220 1 0 70488 50933 7282 13875
89036 28854 21650 1 0 78443 51409 7223 13796
84668 23304 23534 6 5 81503 52363 7205 13547
76780 22072 21510 6 0 78301 51346 7221 14224
59912 22444 22762 6 0 78443 51409 7223 13796
21976 8744 11026 9 3 50941 47733 7603 15847
14710 7860 5622 9 0 41814 44479 7699 18484
32508 18184 10066 15 6 68023 50152 7773 15891
95284 38128 25402 19 4 83981 52432 7188 13406
83568 25388 34404 24 5 89154 52299 7499 13671
73636 22274 38126 33 9 88841 52244 7537 13659
58968 25912 31388 33 0 88548 51298 7309 13813
16208 19638 14286 53 20 51647 50019 7985 16091
25014 14550 8304 56 3 63947 49094 7613 16253
88094 35504 20068 86 30 70587 51888 7274 13679
80746 21108 16434 98 12 70298 51486 7283 14137
78304 15506 20542 131 33 72056 51024 7105 14151
70650 14500 22108 137 6 75793 50910 7077 14368
56144 22142 21620 191 54 78301 52294 7226 13599
19506 16640 8548 262 71 51424 50540 7594 15845
26500 10478 5340 290 28 59167 49400 7600 15258
88280 22234 10402 410 120 70292 51818 7223 13495
79412 14962 9340 546 136 68732 50679 7038 14186
77222 9620 7514 703 157 61858 51126 7023 13549
65122 4892 5770 817 114 61690 48190 6965 14869
51764 11566 3906 1014 197 62335 51067 7551 13733
16800 11318 1318 1226 212 42529 49982 7607 15322
25550 2334 400 1613 387 58786 45793 7465 17223
57508 1596 330 1880 267 61690 48190 6965 14869
40638 434 352 2475 595 61166 46327 7547 16683
48552 298 662 2923 448 61495 48148 7378 14813
43162 364 1094 3357 434 61583 46039 7526 16763
41722 3222 1218 3893 536 61156 46288 7538 16813
16326 6034 590 4484 591 42177 46005 7462 17636
19998 2064 554 5181 697 41785 42093 7397 20985
51312 2956 878 5841 660 62063 48152 7407 14948
42678 2030 1302 6698 857 59452 37393 7391 23225
39842 1150 1442 7822 1124 59084 37446 7408 23252
37236 1526 2376 8852 1030 58716 37458 7392 23221
32280 6044 2420 10158 1306 57888 36678 7341 24448
9476 6624 914 11513 1355 39607 34695 7501 26316
12698 2144 872 13002 1489 40574 34853 7534 24209
30962 3910 1340 14776 1774 58395 36736 7358 23849
25144 2892 1330 16146 1370 55737 36512 7344 24014
21546 1288 2312 18105 1959 43838 36766 7356 23871
18410 1148 2992 20754 2649 40193 36602 7266 22913
15624 3150 3218 24324 3570 40038 38396 6155 21338
5860 4128 1670 26350 2026 39983 34888 7470 24953
8018 2210 1280 29433 3083 39951 35150 6398 23866
21500 3942 2240 31981 2548 44031 36662 7278 23175
17706 2576 2300 33940 1959 40197 36723 7368 23826
16342 1652 3742 36897 2957 40112 36843 6287 22604
14342 1346 4942 39509 2612 40196 35258 7443 23800
10856 3204 4564 42480 2971 40119 35380 6473 23280
4482 3246 2600 45351 2871 39908 34977 6642 23933
6336 2002 1370 48426 3075 39702 35169 6385 23705
15076 2698 2770 50646 2220 39848 35941 7432 24033
12602 1162 3558 53739 3093 39874 35230 6403 22741
11548 1180 3852 57300 3561 39958 36980 6329 22018
8376 1470 4722 62658 5358 39993 37045 6323 22144
3562 1212 3054 68606 5948 39745 36689 6309 22121
3180 948 4164 74401 5795 39745 36689 6309 22121
2876 2488 2392 80115 5714 39745 36689 6309 22121
3810 5064 2742 85973 5858 39745 36555 6309 22746
6984 2668 1984 92676 6703 39745 36689 6309 22121
13896 2108 3676 98522 5846 39988 37604 6308 20919
10378 908 4564 104189 5667 40039 37741 6304 21108
7660 1396 5598 109740 5551 39962 36670 6323 22245
2048 2122 2362 115909 6169 39745 36689 6309 22121
2500 3660 2224 121301 5392 39745 36689 6309 22121
6710 3452 3002 126004 4703 39820 36446 6371 22617
11566 3660 4806 130716 4712 39967 37322 6349 21430
10494 1672 4912 135464 4748 40104 37484 6365 21592
9458 1226 6440 138969 3505 40110 37095 6360 22681
7388 3032 5710 142824 3855 40040 36391 6371 23090
2310 3040 3108 146062 3238 39683 35178 6372 23668
3900 1926 2636 149607 3545 39796 36251 6347 22903
11630 3434 6700 152306 2699 40110 35143 7360 23272
8472 2302 6170 155219 2913 40186 35002 6529 24065
8476 1350 5582 158207 2988 40184 35085 6470 23971
8168 1058 5816 161397 3190 39951 35159 6398 23848
5586 3152 5418 163913 2516 40054 34884 7408 24405
1914 3864 3080 166473 2560 40028 34884 7404 24368
4298 2428 2300 169303 2830 39908 34977 6642 23933
11902 4468 4914 171443 2140 40100 34883 7461 24363
10758 3066 5062 173497 2054 40234 35307 7474 24488
11766 1742 6364 175829 2332 39517 35072 7418 24065
10892 1024 8028 178196 2367 40280 35153 7420 24035
8902 5468 4688 180791 2595 40014 34489 7417 25388
2548 6344 3016 183088 2297 38354 34057 7446 25858
6602 3050 2524 185374 2286 39641 34921 7442 24602
20954 5102 5548 187216 1842 43720 36451 7355 24521
17732 3168 4938 189214 1998 40185 36668 7343 23764
16726 2252 6316 191069 1855 40197 36756 7353 23745
16894 1346 8120 193061 1992 40185 36668 7343 23764
12646 4190 7312 195017 1956 40157 34904 7546 24256
2514 48 318 197018 2001 39983 34888 7470 24953
7272 3286 2324 198590 1572 40380 34951 7486 25067
25746 6068 6496 199785 1195 56126 36051 7340 24619
24972 3990 9436 201221 1436 55739 36521 7345 24005
21910 1864 9256 202935 1714 44073 36766 7356 23890
15570 2466 18858 204428 1493 40973 34870 7713 26026
3694 6210 10850 205905 1477 39417 33970 7614 26159
3258 9148 6928 207264 1359 40028 36208 7588 25842
9656 7280 6000 208680 1416 39625 34430 7564 26347
36096 16642 13278 209745 1065 66776 40915 7735 23209
29154 10582 12084 210785 1040 58223 39008 7741 24170
28346 5646 10906 211921 1136 57771 35856 7471 24972
29006 2870 18770 212978 1057 58416 34996 7687 26013
20734 8494 16112 213946 968 42883 33244 7810 27259
4712 8644 8216 215014 1068 39659 35350 7571 25919
9720 2746 10580 216095 1081 40624 35111 7625 25000
33120 10094 18908 216906 811 59271 38089 7810 25466
22800 1610 16390 217791 885 51143 34054 7726 26174
12628 3266 11394 218604 813 40532 34466 7782 24337
36254 3772 23044 219354 750 68449 37496 7576 24724
24834 12128 19478 220071 717 57333 40047 7765 23513
6136 9606 8596 220853 782 39662 38434 7597 24938
10802 4084 9810 221598 745 40062 35797 7485 24126
40256 13192 21016 222209 611 73468 50431 7746 15155
27448 23406 19560 222871 662 69414 50164 7970 15898
18732 6480 14762 223530 659 41963 44571 7884 18749
46416 3902 28238 224210 680 79530 48422 7686 15361
34360 13890 21676 224860 650 72711 49339 7821 16453
9516 14956 10174 225545 685 50917 48617 7847 17712
16956 8232 7240 226171 626 42018 46138 7552 17787
57514 17332 17374 226795 624 69953 51350 7276 14178
49386 11658 16214 227363 568 62432 50721 7742 14083
47484 8144 20664 228000 637 63904 48167 7830 15739
47204 5816 24372 228678 678 73614 48419 7680 15666
36376 15370 19430 229357 679 68248 50464 7915 15735
11282 11748 8628 230029 672 43875 49275 7759 15706
16208 7618 6600 230642 613 41874 46135 7503 17864
57256 18700 17452 231270 628 70277 51171 7277 14261
52802 13682 16062 231801 531 67057 50348 7698 14241
51718 10496 19748 232376 575 61801 51013 7717 14367
49854 4882 23952 232954 578 72827 49013 7530 15045
41492 13000 19924 233545 591 65870 49990 7820 15291
12056 12068 9988 234123 578 43720 49698 7871 14799
16744 7698 7976 234725 602 41812 45999 7524 17864
61220 19448 19536 235363 638 70357 51472 7265 14355
53668 15286 17286 235971 608 69180 50414 7647 14294
51490 10506 20456 236616 645 64361 51013 7691 14326
49282 7812 22346 237264 648 69850 48878 7570 15748
42588 13804 17698 237947 683 67783 49317 7901 16411
13528 12680 8102 238641 694 46682 49249 7664 15335
17206 9316 6210 239315 674 42268 49056 7569 15680
64372 17930 16200 239986 671 71018 51152 7273 14355
57626 15470 15598 240664 678 70183 50768 7153 14360
56508 11524 18984 241359 695 61795 50348 7135 14837
53156 6164 23020 242049 690 71444 48253 7513 15950
43956 14194 20460 242713 664 71306 49418 7872 15790
14512 14684 93336 243406 693 69599 43631 8268 19492
19028 9340 8044 244097 691 41723 48558 7543 15979
63070 21960 22136 244784 687 79492 52162 7217 14135
53384 16730 20578 245468 684 73549 51392 7678 14516
52924 12030 21796 246154 686 71819 51497 7638 13619
48554 7950 24728 246845 691 74197 48656 7509 15999
39574 13920 22272 247534 689 74480 49986 7770 16444
11568 12144 10296 248228 694 43781 49179 7818 15395
17648 8510 7238 248922 694 40585 45565 7524 17984
56818 23532 21956 249611 689 79663 52226 7220 13599
49772 18310 21222 250303 692 79445 51760 7798 14601
48750 11476 26246 250991 688 77994 51194 7607 14110
47112 6060 28506 251686 695 78594 47755 7659 16271
37278 15552 25670 252374 688 81134 50766 7760 15399
10610 13430 10800 253064 690 49294 48743 7753 15419
15068 9514 9294 253757 693 41290 48558 7668 16131
58302 21522 27332 254448 691 88130 52243 7208 14098
51694 16708 24508 255136 688 82337 51795 7600 14405
49890 12066 27434 255826 690 80420 51549 7633 13475
49246 9488 30892 256513 687 80936 50863 7627 14112
38524 16322 27370 257124 611 83764 51341 7750 15796
11142 12748 11864 257749 625 47576 49273 7948 14902
15002 9476 9844 258430 681 42123 48923 7708 15832
53932 23962 30098 259070 640 87801 52126 7772 13749
47136 19816 32124 259707 637 88599 51922 8175 14511
46556 12258 32040 260361 654 84162 51493 7970 13319
43260 8524 38136 261038 677 82692 46596 8023 17439
34504 14892 34374 261733 695 83365 48158 7979 17362
10026 13522 14796 262418 685 49412 48159 8007 16285
15390 9834 11808 263059 641 42186 49719 7943 15353
59178 21382 30560 263684 625 87698 52103 7292 14034
54186 20178 33234 264374 690 90370 52074 8021 14479
