"day0_1" "day2_3" "more4" "sum"
25212 16676 7178 49066
98758 39216 19220 157194
89036 28854 21650 139540
84668 23304 23534 131506
76780 22072 21510 120362
59912 22444 22762 105118
21976 8744 11026 41746
14710 7860 5622 28192
32508 18184 10066 60758
95284 38128 25402 158814
83568 25388 34404 143360
73636 22274 38126 134036
58968 25912 31388 116268
16208 19638 14286 50132
25014 14550 8304 47868
88094 35504 20068 143666
80746 21108 16434 118288
78304 15506 20542 114352
70650 14500 22108 107258
56144 22142 21620 99906
19506 16640 8548 44694
26500 10478 5340 42318
88280 22234 10402 120916
79412 14962 9340 103714
77222 9620 7514 94356
65122 4892 5770 75784
51764 11566 3906 67236
16800 11318 1318 29436
25550 2334 400 28284
57508 1596 330 59434
40638 434 352 41424
48552 298 662 49512
43162 364 1094 44620
41722 3222 1218 46162
16326 6034 590 22950
19998 2064 554 22616
51312 2956 878 55146
42678 2030 1302 46010
39842 1150 1442 42434
37236 1526 2376 41138
32280 6044 2420 40744
9476 6624 914 17014
12698 2144 872 15714
30962 3910 1340 36212
25144 2892 1330 29366
21546 1288 2312 25146
18410 1148 2992 22550
15624 3150 3218 21992
5860 4128 1670 11658
8018 2210 1280 11508
21500 3942 2240 27682
17706 2576 2300 22582
16342 1652 3742 21736
14342 1346 4942 20630
10856 3204 4564 18624
4482 3246 2600 10328
6336 2002 1370 9708
15076 2698 2770 20544
12602 1162 3558 17322
11548 1180 3852 16580
8376 1470 4722 14568
3562 1212 3054 7828
3180 948 4164 8292
2876 2488 2392 7756
3810 5064 2742 11616
6984 2668 1984 11636
13896 2108 3676 19680
10378 908 4564 15850
7660 1396 5598 14654
2048 2122 2362 6532
2500 3660 2224 8384
6710 3452 3002 13164
11566 3660 4806 20032
10494 1672 4912 17078
9458 1226 6440 17124
7388 3032 5710 16130
2310 3040 3108 8458
3900 1926 2636 8462
11630 3434 6700 21764
8472 2302 6170 16944
8476 1350 5582 15408
8168 1058 5816 15042
5586 3152 5418 14156
1914 3864 3080 8858
4298 2428 2300 9026
11902 4468 4914 21284
10758 3066 5062 18886
11766 1742 6364 19872
10892 1024 8028 19944
8902 5468 4688 19058
2548 6344 3016 11908
6602 3050 2524 12176
20954 5102 5548 31604
17732 3168 4938 25838
16726 2252 6316 25294
16894 1346 8120 26360
12646 4190 7312 24148
2514 48 318 2880
7272 3286 2324 12882
25746 6068 6496 38310
24972 3990 9436 38398
21910 1864 9256 33030
15570 2466 18858 36894
3694 6210 10850 20754
3258 9148 6928 19334
9656 7280 6000 22936
36096 16642 13278 66016
29154 10582 12084 51820
28346 5646 10906 44898
29006 2870 18770 50646
20734 8494 16112 45340
4712 8644 8216 21572
9720 2746 10580 23046
33120 10094 18908 62122
22800 1610 16390 40800
12628 3266 11394 27288
36254 3772 23044 63070
24834 12128 19478 56440
6136 9606 8596 24338
10802 4084 9810 24696
40256 13192 21016 74464
27448 23406 19560 70414
18732 6480 14762 39974
46416 3902 28238 78556
34360 13890 21676 69926
9516 14956 10174 34646
16956 8232 7240 32428
57514 17332 17374 92220
49386 11658 16214 77258
47484 8144 20664 76292
47204 5816 24372 77392
36376 15370 19430 71176
11282 11748 8628 31658
16208 7618 6600 30426
57256 18700 17452 93408
52802 13682 16062 82546
51718 10496 19748 81962
49854 4882 23952 78688
41492 13000 19924 74416
12056 12068 9988 34112
16744 7698 7976 32418
61220 19448 19536 100204
53668 15286 17286 86240
51490 10506 20456 82452
49282 7812 22346 79440
42588 13804 17698 74090
13528 12680 8102 34310
17206 9316 6210 32732
64372 17930 16200 98502
57626 15470 15598 88694
56508 11524 18984 87016
53156 6164 23020 82340
43956 14194 20460 78610
14512 14684 93336 122532
19028 9340 8044 36412
63070 21960 22136 107166
53384 16730 20578 90692
52924 12030 21796 86750
48554 7950 24728 81232
39574 13920 22272 75766
11568 12144 10296 34008
17648 8510 7238 33396
56818 23532 21956 102306
49772 18310 21222 89304
48750 11476 26246 86472
47112 6060 28506 81678
37278 15552 25670 78500
10610 13430 10800 34840
15068 9514 9294 33876
58302 21522 27332 107156
51694 16708 24508 92910
49890 12066 27434 89390
49246 9488 30892 89626
38524 16322 27370 82216
11142 12748 11864 35754
15002 9476 9844 34322
53932 23962 30098 107992
47136 19816 32124 99076
46556 12258 32040 90854
43260 8524 38136 89920
34504 14892 34374 83770
10026 13522 14796 38344
15390 9834 11808 37032
59178 21382 30560 111120
54186 20178 33234 107598
