"day0_1" "day2_3" "more4" "sum" "good_pat" "pr_day01" "pr_day23" "pr_more4"
54186 20178 33234 107598 91745 54188.1384642838 8603.26666666667 11295.0203967995
49764 14674 45406 109844 91722 54188.1384642838 8603.26666666667 11295.0203967995
46000 8616 46808 101424 88000 54188.1384642838 8603.26666666667 11295.0203967995
36356 16002 40108 92466 82852 54188.1384642838 8603.26666666667 11295.0203967995
10514 12062 18074 40650 35101 54188.1384642838 8603.26666666667 11295.0203967995
13020 9912 15592 38524 32734 54188.1384642838 8603.26666666667 11295.0203967995
44968 24162 47872 117002 100382 54188.1384642838 8603.26666666667 11295.0203967995
41658 17690 41152 100500 89554 54188.1384642838 8603.26666666667 11295.0203967995
39702 12194 48076 99972 88035 54188.1384642838 8603.26666666667 11295.0203967995
37978 9020 49790 96788 85455 54188.1384642838 8603.26666666667 11295.0203967995
33358 14180 42660 90198 75725 19734.1727775493 7855.04089562391 38209.1224781661
7968 9176 19684 36828 32882 19734.1727775493 7855.04089562391 38209.1224781661
12176 7384 16314 35874 30733 19734.1727775493 7855.04089562391 38209.1224781661
45152 20102 48596 113850 102163 19734.1727775493 7855.04089562391 38209.1224781661
39496 16228 48242 103966 93504 19734.1727775493 7855.04089562391 38209.1224781661
38986 11684 48258 98928 89276 19734.1727775493 7855.04089562391 38209.1224781661
41830 7552 46704 96086 80712 19734.1727775493 7855.04089562391 38209.1224781661
34016 14328 42004 90348 80023 19734.1727775493 7855.04089562391 38209.1224781661
8938 11064 18598 38600 32485 19734.1727775493 7855.04089562391 38209.1224781661
13934 8336 15600 37870 32145 19734.1727775493 7855.04089562391 38209.1224781661
46652 19990 49828 116470 98657 21314.4181252804 8144.15832208151 37849.9247483168
41418 15576 48144 105138 93772 21314.4181252804 8144.15832208151 37849.9247483168
39658 12398 47100 99156 89785 21314.4181252804 8144.15832208151 37849.9247483168
40912 8348 48670 97930 88641 21314.4181252804 8144.15832208151 37849.9247483168
33394 13086 45668 92148 81547 21314.4181252804 8144.15832208151 37849.9247483168
8584 9508 18592 36684 32339 21314.4181252804 8144.15832208151 37849.9247483168
12418 7782 14606 34806 29679 21314.4181252804 8144.15832208151 37849.9247483168
44180 17870 48222 110272 98135 21314.4181252804 8144.15832208151 37849.9247483168
40200 14824 46040 101064 87826 21314.4181252804 8144.15832208151 37849.9247483168
44596 12404 45172 102172 86984 21314.4181252804 8144.15832208151 37849.9247483168
42312 5040 48572 95924 82342 23048.7604931997 6056.81953992355 28857.6512637359
31234 12844 42228 86306 76990 23048.7604931997 6056.81953992355 28857.6512637359
6646 8568 18442 33656 28047 23048.7604931997 6056.81953992355 28857.6512637359
11184 6706 15392 33282 30275 23048.7604931997 6056.81953992355 28857.6512637359
39388 16222 47860 103470 92302 23048.7604931997 6056.81953992355 28857.6512637359
36360 12716 45854 94930 81708 23048.7604931997 6056.81953992355 28857.6512637359
35534 8832 44792 89158 80970 23048.7604931997 6056.81953992355 28857.6512637359
34330 4938 43852 83120 75310 23048.7604931997 6056.81953992355 28857.6512637359
26778 11632 38036 76446 65953 23048.7604931997 6056.81953992355 28857.6512637359
6132 8582 17552 32266 27866 23048.7604931997 6056.81953992355 28857.6512637359
11552 5864 13764 31180 27725 41811.7935491401 5553.74340990468 17030.9864921997
41590 12004 39688 93282 78286 41811.7935491401 5553.74340990468 17030.9864921997
35204 9586 36620 81410 69653 41811.7935491401 5553.74340990468 17030.9864921997
38054 7608 37460 83122 71376 41811.7935491401 5553.74340990468 17030.9864921997
45580 5374 37318 88272 78770 41811.7935491401 5553.74340990468 17030.9864921997
36848 14640 30100 81588 71113 41811.7935491401 5553.74340990468 17030.9864921997
10262 12816 13996 37074 30945 41811.7935491401 5553.74340990468 17030.9864921997
17056 7562 10786 35404 29517 41811.7935491401 5553.74340990468 17030.9864921997
55640 16598 30636 102874 89781 41811.7935491401 5553.74340990468 17030.9864921997
50422 13230 29352 93004 79321 41811.7935491401 5553.74340990468 17030.9864921997
49316 9182 22290 80788 71345 57997.1935484082 2636.79572048391 4867.5263898007
48336 4974 31224 84534 71440 57997.1935484082 2636.79572048391 4867.5263898007
39084 12702 30376 82162 71919 57997.1935484082 2636.79572048391 4867.5263898007
10538 12270 12276 35084 29250 57997.1935484082 2636.79572048391 4867.5263898007
16554 8776 8946 34276 29009 57997.1935484082 2636.79572048391 4867.5263898007
56592 15842 27268 99702 86741 57997.1935484082 2636.79572048391 4867.5263898007
53332 12200 27008 92540 80123 57997.1935484082 2636.79572048391 4867.5263898007
54182 9170 28528 91880 80979 57997.1935484082 2636.79572048391 4867.5263898007
51300 5576 31000 87876 79573 57997.1935484082 2636.79572048391 4867.5263898007
42284 15992 27558 85834 74934 57997.1935484082 2636.79572048391 4867.5263898007
